Total Time: 143363 microseconds | Delta: 143360 microseconds
Total Time: 786556 microseconds | Delta: 138061 microseconds
Total Time: 1427641 microseconds | Delta: 136020 microseconds
Total Time: 2075143 microseconds | Delta: 142460 microseconds
Total Time: 2640962 microseconds | Delta: 135088 microseconds
Total Time: 3285523 microseconds | Delta: 139488 microseconds
Total Time: 3928802 microseconds | Delta: 138228 microseconds
Total Time: 4570894 microseconds | Delta: 137038 microseconds
Total Time: 5212358 microseconds | Delta: 136428 microseconds
Total Time: 5854610 microseconds | Delta: 137291 microseconds
Total Time: 6498964 microseconds | Delta: 139323 microseconds
Total Time: 7139143 microseconds | Delta: 135123 microseconds
Total Time: 7780362 microseconds | Delta: 137160 microseconds
Total Time: 8418981 microseconds | Delta: 133554 microseconds
Total Time: 9059051 microseconds | Delta: 134998 microseconds
Total Time: 9706995 microseconds | Delta: 142881 microseconds
Total Time: 10348631 microseconds | Delta: 136578 microseconds
Total Time: 10988635 microseconds | Delta: 134969 microseconds
Total Time: 11630726 microseconds | Delta: 137044 microseconds
Total Time: 12268832 microseconds | Delta: 137530 microseconds
Total Time: 12906514 microseconds | Delta: 132621 microseconds
Total Time: 13548796 microseconds | Delta: 137243 microseconds
Total Time: 14188415 microseconds | Delta: 134536 microseconds
Total Time: 14830566 microseconds | Delta: 137078 microseconds
Total Time: 15471817 microseconds | Delta: 136167 microseconds
Total Time: 16113085 microseconds | Delta: 136237 microseconds
Total Time: 16754355 microseconds | Delta: 136214 microseconds
Total Time: 17394850 microseconds | Delta: 135431 microseconds
Total Time: 18034582 microseconds | Delta: 134673 microseconds
Total Time: 18675505 microseconds | Delta: 135829 microseconds
Total Time: 19316754 microseconds | Delta: 136156 microseconds
Total Time: 19964043 microseconds | Delta: 142233 microseconds
Total Time: 20602971 microseconds | Delta: 133869 microseconds
Total Time: 21243005 microseconds | Delta: 134975 microseconds
Total Time: 21884115 microseconds | Delta: 136067 microseconds
Total Time: 22522161 microseconds | Delta: 133002 microseconds
Total Time: 23162541 microseconds | Delta: 135369 microseconds
Total Time: 23805403 microseconds | Delta: 137814 microseconds
Total Time: 24444290 microseconds | Delta: 133813 microseconds
Total Time: 25082556 microseconds | Delta: 136784 microseconds
