Total Time: 138665 microseconds | Delta: 138664 microseconds
Total Time: 784973 microseconds | Delta: 143049 microseconds
Total Time: 1428776 microseconds | Delta: 138708 microseconds
Total Time: 2067589 microseconds | Delta: 137272 microseconds
Total Time: 2637148 microseconds | Delta: 138822 microseconds
Total Time: 3277202 microseconds | Delta: 134989 microseconds
Total Time: 3916054 microseconds | Delta: 133815 microseconds
Total Time: 4555220 microseconds | Delta: 138411 microseconds
Total Time: 5199695 microseconds | Delta: 140532 microseconds
Total Time: 5839199 microseconds | Delta: 137889 microseconds
Total Time: 6481323 microseconds | Delta: 137088 microseconds
Total Time: 7123134 microseconds | Delta: 136759 microseconds
Total Time: 7765701 microseconds | Delta: 137507 microseconds
Total Time: 8407699 microseconds | Delta: 136939 microseconds
Total Time: 9048380 microseconds | Delta: 138319 microseconds
Total Time: 9688041 microseconds | Delta: 134585 microseconds
Total Time: 10332315 microseconds | Delta: 139199 microseconds
Total Time: 10975003 microseconds | Delta: 137647 microseconds
Total Time: 11620972 microseconds | Delta: 140925 microseconds
Total Time: 12260869 microseconds | Delta: 135725 microseconds
Total Time: 12903387 microseconds | Delta: 137423 microseconds
Total Time: 13545012 microseconds | Delta: 136564 microseconds
Total Time: 14184938 microseconds | Delta: 134864 microseconds
Total Time: 14828979 microseconds | Delta: 138983 microseconds
Total Time: 15471824 microseconds | Delta: 137794 microseconds
Total Time: 16113375 microseconds | Delta: 136485 microseconds
Total Time: 16755813 microseconds | Delta: 137370 microseconds
Total Time: 17398842 microseconds | Delta: 137946 microseconds
Total Time: 18040953 microseconds | Delta: 137042 microseconds
Total Time: 18674954 microseconds | Delta: 132647 microseconds
Total Time: 19316758 microseconds | Delta: 140223 microseconds
Total Time: 19959374 microseconds | Delta: 137965 microseconds
Total Time: 20600912 microseconds | Delta: 136456 microseconds
Total Time: 21243211 microseconds | Delta: 137235 microseconds
Total Time: 21882824 microseconds | Delta: 137722 microseconds
Total Time: 22526717 microseconds | Delta: 138824 microseconds
Total Time: 23167048 microseconds | Delta: 137619 microseconds
Total Time: 23808858 microseconds | Delta: 136750 microseconds
Total Time: 24446784 microseconds | Delta: 132869 microseconds
Total Time: 25087620 microseconds | Delta: 135755 microseconds
