Total Time: 281 microseconds, Delta: 281 microseconds
Total Time: 505654 microseconds, Delta: 332 microseconds
Total Time: 1007047 microseconds, Delta: 219 microseconds
Total Time: 1512475 microseconds, Delta: 385 microseconds
Total Time: 2017890 microseconds, Delta: 362 microseconds
Total Time: 2523335 microseconds, Delta: 390 microseconds
Total Time: 3028749 microseconds, Delta: 353 microseconds
Total Time: 3534208 microseconds, Delta: 376 microseconds
Total Time: 4039562 microseconds, Delta: 290 microseconds
Total Time: 4545034 microseconds, Delta: 392 microseconds
Total Time: 5050455 microseconds, Delta: 356 microseconds
Total Time: 5555856 microseconds, Delta: 348 microseconds
Total Time: 6061002 microseconds, Delta: 106 microseconds
Total Time: 6566391 microseconds, Delta: 352 microseconds
Total Time: 7071829 microseconds, Delta: 379 microseconds
Total Time: 7577227 microseconds, Delta: 341 microseconds
Total Time: 8081653 microseconds, Delta: 367 microseconds
Total Time: 8586896 microseconds, Delta: 205 microseconds
Total Time: 9092299 microseconds, Delta: 365 microseconds
Total Time: 9597664 microseconds, Delta: 305 microseconds
Total Time: 10100343 microseconds, Delta: 253 microseconds
Total Time: 10605712 microseconds, Delta: 325 microseconds
Total Time: 11107398 microseconds, Delta: 209 microseconds
Total Time: 11612728 microseconds, Delta: 283 microseconds
Total Time: 12117756 microseconds, Delta: 301 microseconds
Total Time: 12623187 microseconds, Delta: 384 microseconds
Total Time: 13128541 microseconds, Delta: 284 microseconds
Total Time: 13633971 microseconds, Delta: 360 microseconds
Total Time: 14139371 microseconds, Delta: 340 microseconds
Total Time: 14644771 microseconds, Delta: 353 microseconds
Total Time: 15146747 microseconds, Delta: 355 microseconds
Total Time: 15652163 microseconds, Delta: 364 microseconds
Total Time: 16157400 microseconds, Delta: 186 microseconds
Total Time: 16662821 microseconds, Delta: 381 microseconds
Total Time: 17167191 microseconds, Delta: 363 microseconds
Total Time: 17672627 microseconds, Delta: 375 microseconds
Total Time: 18178014 microseconds, Delta: 308 microseconds
Total Time: 18683453 microseconds, Delta: 365 microseconds
Total Time: 19188826 microseconds, Delta: 310 microseconds
Total Time: 19694312 microseconds, Delta: 400 microseconds
